times	kbmemfree	kbavail	kbmemused	%memused	kbbuffers	kbcached	kbcommit	%commit	kbactive	kbinact	kbdirty
09:09:59	354772	2113644	1328644	33,98	10672	1912960	5930472	151,68	826112	2289304	268
09:10:09	354772	2113672	1328604	33,98	10680	1912968	5895984	150,80	825116	2289324	272
09:10:19	354772	2113672	1328584	33,98	10688	1912980	5895920	150,80	825048	2289324	308
09:10:29	354772	2113688	1328564	33,98	10696	1912992	5895920	150,80	825048	2289340	48
09:10:39	354772	2113720	1328540	33,98	10704	1913008	5895920	150,80	825048	2289372	52
09:10:49	354772	2113728	1328524	33,98	10712	1913016	5895920	150,80	825144	2289380	52
09:10:59	354772	2113728	1328496	33,98	10720	1913036	5895920	150,80	825144	2289380	72
09:11:09	354772	2113732	1328476	33,98	10728	1913048	5895924	150,80	825144	2289384	40
09:11:19	354772	2113768	1328456	33,98	10736	1913060	5895924	150,80	825160	2289420	20
09:11:29	354772	2113768	1328432	33,98	10744	1913076	5895924	150,80	825160	2289420	56
09:11:39	354772	2113768	1328416	33,98	10752	1913084	5895924	150,80	825160	2289420	64
09:11:49	354772	2113768	1328392	33,98	10760	1913100	5895924	150,80	825160	2289420	36
09:11:59	354772	2113768	1328372	33,98	10768	1913112	5895924	150,80	825160	2289420	16
09:12:09	354772	2113768	1328352	33,98	10776	1913124	5895924	150,80	825160	2289420	48
09:12:19	354772	2113900	1328320	33,97	10792	1913140	5895924	150,80	825164	2289552	72
09:12:29	354772	2113920	1328300	33,97	10800	1913152	5895924	150,80	825168	2289572	44
09:12:39	354696	2113844	1328356	33,98	10808	1913164	5895924	150,80	825168	2289572	20
09:12:49	354652	2113800	1328368	33,98	10820	1913180	5895924	150,80	825168	2289572	64
09:12:59	354652	2113800	1328348	33,98	10828	1913192	5895924	150,80	825168	2289572	76
09:13:09	354460	2113624	1328508	33,98	10840	1913208	5895928	150,80	825168	2289584	32
09:13:19	354460	2113624	1328484	33,98	10852	1913220	5895864	150,80	825104	2289584	24
09:13:29	354460	2113748	1328464	33,98	10860	1913232	5895864	150,80	825104	2289708	44
09:13:39	354460	2113748	1328436	33,98	10868	1913248	5895864	150,80	825104	2289708	64
09:13:49	354460	2113748	1328416	33,98	10880	1913256	5895864	150,80	825104	2289708	40
09:13:59	354460	2113748	1328388	33,98	10888	1913272	5895864	150,80	825104	2289708	28
09:14:09	354460	2113748	1328368	33,98	10896	1913284	5895868	150,80	825104	2289708	48
09:14:19	354460	2113748	1328336	33,97	10916	1913296	5895868	150,80	825104	2289708	68
09:14:29	354460	2113748	1328312	33,97	10924	1913312	5895868	150,80	825104	2289708	52
09:14:39	354460	2113876	1328292	33,97	10932	1913320	5895868	150,80	825104	2289832	28
09:14:49	354460	2113876	1328264	33,97	10944	1913336	5895868	150,80	825104	2289832	64
09:14:59	354460	2113876	1328236	33,97	10960	1913348	5895868	150,80	825104	2289832	68
09:15:09	354460	2114020	1328212	33,97	10980	1913368	5895872	150,80	825092	2289984	220
09:15:19	354460	2114020	1328188	33,97	10992	1913380	5895872	150,80	825088	2289984	200
09:15:29	354460	2114020	1328168	33,97	11000	1913392	5895872	150,80	825088	2289984	216
09:15:39	354460	2114084	1328136	33,97	11016	1913404	5895872	150,80	825088	2290048	52
09:15:49	354460	2114084	1328108	33,97	11028	1913420	5895872	150,80	825088	2290048	28
09:15:59	354460	2114084	1328092	33,97	11036	1913428	5895872	150,80	825088	2290048	44
09:16:09	354460	2114084	1328068	33,97	11044	1913444	5895872	150,80	825088	2290048	60
09:16:19	354460	2114128	1328040	33,97	11060	1913456	5895872	150,80	825116	2290092	44
09:16:29	354460	2114128	1328020	33,97	11068	1913468	5895872	150,80	825116	2290092	36
09:16:39	354460	2114128	1327996	33,97	11076	1913484	5895872	150,80	825116	2290092	56
09:16:49	354460	2114252	1327980	33,97	11084	1913492	5895872	150,80	825116	2290216	52
09:16:59	354460	2114264	1327952	33,97	11092	1913512	5895872	150,80	825120	2290228	8
09:17:09	354460	2114340	1327916	33,96	11108	1913528	5895876	150,80	825128	2290300	204
09:17:19	354460	2114340	1327896	33,96	11116	1913540	5895876	150,80	825124	2290300	216
09:17:29	354460	2114340	1327876	33,96	11124	1913552	5895876	150,80	825124	2290300	212
09:17:39	354460	2114404	1327856	33,96	11132	1913564	5895876	150,80	825124	2290364	8
09:17:49	354460	2114404	1327836	33,96	11140	1913576	5895876	150,80	825124	2290364	40
09:17:59	354460	2114404	1327812	33,96	11148	1913592	5895876	150,80	825124	2290364	56
09:18:09	354460	2114404	1327796	33,96	11156	1913600	5895880	150,80	825124	2290364	52
09:18:19	354460	2114404	1327772	33,96	11164	1913616	5895880	150,80	825124	2290364	8
09:18:29	354460	2114404	1327752	33,96	11172	1913628	5895880	150,80	825124	2290364	36
09:18:39	354460	2114404	1327732	33,96	11180	1913640	5895880	150,80	825124	2290364	48
09:18:49	354460	2114404	1327700	33,96	11188	1913660	5895880	150,80	825124	2290364	52
09:18:59	354460	2114548	1327684	33,96	11196	1913668	5895880	150,80	825128	2290508	4
09:19:09	354460	2114548	1327660	33,96	11204	1913684	5895884	150,80	825128	2290508	36
09:19:19	354460	2114548	1327640	33,96	11212	1913696	5895884	150,80	825128	2290508	48
09:19:29	354460	2114548	1327620	33,96	11220	1913708	5895884	150,80	825128	2290508	48
09:19:39	354460	2114560	1327596	33,96	11228	1913724	5895884	150,80	825132	2290520	8
09:19:49	354460	2114560	1327580	33,96	11236	1913732	5895884	150,80	825132	2290520	32
09:19:59	354396	2114496	1327620	33,96	11244	1913748	5895884	150,80	825132	2290520	48
09:20:09	354396	2114680	1327576	33,96	11268	1913768	5895888	150,80	825144	2290700	204
09:20:19	354396	2114692	1327536	33,95	11292	1913780	5895888	150,80	825140	2290708	176
09:20:29	354396	2114692	1327516	33,95	11300	1913792	5895888	150,80	825140	2290708	192
09:20:39	354396	2114696	1327488	33,95	11316	1913804	5895888	150,80	825140	2290712	76
09:20:49	354396	2114700	1327460	33,95	11328	1913820	5895888	150,80	825140	2290716	12
09:20:59	354396	2114700	1327436	33,95	11336	1913836	5895888	150,80	825140	2290716	48
09:21:09	354396	2114824	1327420	33,95	11344	1913844	5895888	150,80	825140	2290840	60
09:21:19	354396	2114824	1327384	33,95	11364	1913860	5895888	150,80	825140	2290840	60
09:21:29	354396	2114824	1327364	33,95	11372	1913872	5895888	150,80	825140	2290840	28
09:21:39	354396	2114824	1327340	33,95	11388	1913876	5895888	150,80	825140	2290840	52
09:21:49	354396	2114824	1327304	33,95	11400	1913900	5895888	150,80	825140	2290840	60
09:21:59	354396	2114824	1327288	33,95	11408	1913908	5895888	150,80	825140	2290840	32
09:22:09	354396	2114940	1327264	33,95	11416	1913924	5895892	150,80	825148	2290956	40
09:22:19	354396	2114940	1327244	33,95	11436	1913924	5895892	150,80	825144	2290956	28
09:22:29	354396	2114940	1327212	33,95	11444	1913948	5895892	150,80	825144	2290956	68
09:22:39	354396	2114944	1327184	33,95	11452	1913964	5895892	150,80	825144	2290956	44
09:22:49	354396	2114944	1327144	33,94	11472	1913980	5895892	150,80	825144	2290956	20
09:22:59	354396	2114944	1327124	33,94	11480	1913992	5895892	150,80	825144	2290956	52
09:23:09	354396	2115068	1327100	33,94	11488	1914008	5895896	150,80	825144	2291080	72
09:23:19	354396	2115068	1327084	33,94	11496	1914016	5895896	150,80	825144	2291080	16
09:23:29	354396	2115068	1327056	33,94	11508	1914032	5895896	150,80	825144	2291080	48
09:23:39	354396	2115068	1327036	33,94	11516	1914044	5895896	150,80	825144	2291080	68
09:23:49	354396	2115072	1327012	33,94	11524	1914056	5895896	150,80	825144	2291080	56
09:23:59	354396	2115072	1326984	33,94	11536	1914072	5895896	150,80	825144	2291080	36
09:24:09	354396	2115072	1326968	33,94	11544	1914080	5895900	150,80	825144	2291080	40
09:24:19	354396	2115072	1326944	33,94	11552	1914096	5895900	150,80	825144	2291080	36
09:24:29	354396	2115072	1326916	33,94	11564	1914108	5895900	150,80	825144	2291080	64
09:24:39	354396	2115188	1326900	33,94	11572	1914124	5895900	150,80	825148	2291196	44
09:24:49	354396	2115312	1326876	33,94	11580	1914140	5895900	150,80	825148	2291320	24
09:24:59	354396	2115312	1326848	33,94	11600	1914148	5895900	150,80	825148	2291320	56
09:25:09	354396	2115448	1326804	33,94	11624	1914168	5895900	150,80	825160	2291456	108
09:25:19	354396	2115448	1326784	33,94	11632	1914180	5895900	150,80	825156	2291456	32
09:25:29	354396	2115440	1326780	33,94	11644	1914188	5895900	150,80	825156	2291456	56
09:25:39	354396	2115440	1326748	33,93	11660	1914204	5895900	150,80	825156	2291456	68
09:25:49	354396	2115440	1326728	33,93	11668	1914216	5895900	150,80	825156	2291456	80
09:25:59	354396	2115512	1326704	33,93	11680	1914228	5895900	150,80	825160	2291528	32
09:26:09	354396	2115516	1326676	33,93	11688	1914244	5895904	150,80	825160	2291528	40
09:26:19	354396	2115516	1326656	33,93	11704	1914244	5895904	150,80	825160	2291528	52
09:26:29	354396	2115516	1326620	33,93	11716	1914268	5895904	150,80	825160	2291528	64
09:26:39	354396	2115568	1326592	33,93	11724	1914288	5895904	150,80	825164	2291580	48
09:26:49	354332	2115504	1326636	33,93	11732	1914300	5895904	150,80	825164	2291580	56
09:26:59	354332	2115620	1326612	33,93	11744	1914312	5895904	150,80	825164	2291696	44
