Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:09:59        all      0,26      0,00      0,73      0,05      0,00     98,96
09:10:09        all      0,37      0,00      0,81      0,00      0,00     98,83
09:10:19        all      0,42      0,00      1,03      0,03      0,00     98,53
09:10:29        all      0,37      0,00      1,30      0,00      0,00     98,32
09:10:39        all      0,29      0,00      0,78      0,03      0,00     98,91
09:10:49        all      0,18      0,00      0,41      0,03      0,00     99,39
09:10:59        all      0,15      0,00      0,38      0,03      0,00     99,44
09:11:09        all      0,20      0,00      0,41      0,08      0,00     99,31
09:11:19        all      0,15      0,00      0,43      0,05      0,00     99,36
09:11:29        all      0,10      0,00      0,46      0,03      0,00     99,41
09:11:39        all      0,10      0,00      0,46      0,03      0,00     99,41
09:11:49        all      0,10      0,00      0,43      0,05      0,00     99,41
09:11:59        all      0,13      0,00      0,41      0,08      0,00     99,39
09:12:09        all      0,18      0,00      0,25      0,03      0,00     99,54
09:12:19        all      0,10      0,00      0,46      0,05      0,00     99,39
09:12:29        all      0,10      0,00      0,38      0,08      0,00     99,44
09:12:39        all      0,08      0,00      0,36      0,03      0,00     99,54
09:12:49        all      0,05      0,00      0,38      0,05      0,00     99,52
09:12:59        all      0,10      0,00      0,43      0,03      0,00     99,44
09:13:09        all      0,08      0,00      0,36      0,05      0,00     99,52
09:13:19        all      0,13      0,00      0,41      0,08      0,00     99,39
09:13:29        all      0,08      0,00      0,43      0,03      0,00     99,47
09:13:39        all      0,10      0,00      0,28      0,05      0,00     99,57
09:13:49        all      0,08      0,00      0,41      0,03      0,00     99,49
09:13:59        all      0,08      0,00      0,38      0,05      0,00     99,49
09:14:09        all      0,13      0,00      0,48      0,03      0,00     99,36
09:14:19        all      0,20      0,00      0,31      0,05      0,00     99,44
09:14:29        all      0,15      0,00      0,43      0,05      0,00     99,36
09:14:39        all      0,13      0,00      0,33      0,08      0,00     99,47
09:14:49        all      0,13      0,00      0,36      0,03      0,00     99,49
09:14:59        all      0,15      0,00      0,41      0,05      0,00     99,39
09:15:09        all      0,23      0,00      0,41      0,03      0,00     99,34
09:15:19        all      0,18      0,00      0,33      0,03      0,00     99,47
09:15:29        all      0,10      0,00      0,36      0,05      0,00     99,49
09:15:39        all      0,08      0,00      0,43      0,03      0,00     99,46
