Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:09:59        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59          sda      1,30     14,00     13,60      0,00     21,23      0,00      1,85      0,19
09:09:59         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59         sda2      1,30     14,00     13,60      0,00     21,23      0,00      1,85      0,19
09:09:59        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09          sda      1,70      0,00     10,40      0,00      6,12      0,00      1,71      0,07
09:10:09         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09         sda2      1,70      0,00     10,40      0,00      6,12      0,00      1,71      0,07
09:10:09        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19          sda      0,20      0,00      3,20      0,00     16,00      0,00      2,00      0,04
09:10:19         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19         sda2      0,20      0,00      3,20      0,00     16,00      0,00      2,00      0,04
09:10:19        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29          sda      3,80      0,00     30,77      0,00      8,11      0,01      3,61      0,25
09:10:29         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29         sda2      3,80      0,00     30,77      0,00      8,11      0,01      3,61      0,25
09:10:29        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39          sda      0,50      0,00      3,60      0,00      7,20      0,00      0,80      0,03
09:10:39         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
