Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:09:59        all      0,26      0,00      0,73      0,05      0,00     98,96
09:09:59          0      0,10      0,00      0,10      0,00      0,00     99,80
09:09:59          1      0,69      0,00      2,66      0,00      0,00     96,65
09:09:59          2      0,30      0,00      0,10      0,10      0,00     99,50
09:09:59          3      0,00      0,00      0,30      0,10      0,00     99,59
09:10:09        all      0,37      0,00      0,81      0,00      0,00     98,83
09:10:09          0      0,30      0,00      0,50      0,00      0,00     99,20
09:10:09          1      0,24      0,00      0,59      0,00      0,00     99,17
09:10:09          2      0,80      0,00      1,91      0,00      0,00     97,28
09:10:09          3      0,10      0,00      0,20      0,00      0,00     99,70
09:10:19        all      0,42      0,00      1,03      0,03      0,00     98,53
09:10:19          0      0,90      0,00      3,21      0,00      0,00     95,89
09:10:19          1      0,12      0,00      0,62      0,12      0,00     99,14
09:10:19          2      0,60      0,00      0,10      0,00      0,00     99,30
09:10:19          3      0,00      0,00      0,10      0,00      0,00     99,90
09:10:29        all      0,37      0,00      1,30      0,00      0,00     98,32
09:10:29          0      0,00      0,00      0,10      0,00      0,00     99,90
09:10:29          1      0,26      0,00      1,93      0,00      0,00     97,81
09:10:29          2      1,21      0,00      3,32      0,00      0,00     95,47
09:10:29          3      0,00      0,00      0,00      0,00      0,00    100,00
09:10:39        all      0,29      0,00      0,78      0,03      0,00     98,91
09:10:39          0      0,60      0,00      2,71      0,00      0,00     96,69
09:10:39          1      0,00      0,00      0,24      0,00      0,00     99,76
09:10:39          2      0,50      0,00      0,10      0,10      0,00     99,30
09:10:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:10:49        all      0,18      0,00      0,41      0,03      0,00     99,39
09:10:49          0      0,40      0,00      1,40      0,00      0,00     98,20
09:10:49          1      0,00      0,00      0,00      0,11      0,00     99,89
09:10:49          2      0,30      0,00      0,10      0,00      0,00     99,60
09:10:49          3      0,00      0,00      0,10      0,00      0,00     99,90
09:10:59        all      0,15      0,00      0,38      0,03      0,00     99,44
09:10:59          0      0,40      0,00      1,30      0,00      0,00     98,30
09:10:59          1      0,00      0,00      0,11      0,00      0,00     99,89
09:10:59          2      0,20      0,00      0,00      0,10      0,00     99,70
09:10:59          3      0,00      0,00      0,10      0,00      0,00     99,90
09:11:09        all      0,20      0,00      0,41      0,08      0,00     99,31
09:11:09          0      0,40      0,00      1,40      0,00      0,00     98,20
09:11:09          1      0,00      0,00      0,11      0,00      0,00     99,89
09:11:09          2      0,40      0,00      0,10      0,30      0,00     99,20
09:11:09          3      0,00      0,00      0,00      0,00      0,00    100,00
09:11:19        all      0,15      0,00      0,43      0,05      0,00     99,36
09:11:19          0      0,40      0,00      1,60      0,00      0,00     98,00
09:11:19          1      0,00      0,00      0,11      0,11      0,00     99,78
09:11:19          2      0,20      0,00      0,00      0,10      0,00     99,70
